SourceTag	ligandid	proteinid	Canonical_Smiles	typeofbinding
asd_2010_allligand_7_25.mdb	ASD00360001	ASD00360000	OC[C@]1(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	allosteric
asd_2010_allligand_7_25.mdb	ASD00360002	ASD00360000	O[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O	allosteric
asd_2010_allligand_7_25.mdb	ASD00360003	ASD00360000	O[C@@H]1CO[C@@](O)(COP(=O)(O)O)[C@@H]1O	allosteric
asd_2010_allligand_7_25.mdb	ASD00360004	ASD00360000	OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H](O)[C@@H]1O	allosteric
asd_2010_allligand_7_25.mdb	ASD00360005	ASD00360000	OC[C@]1(OP(=O)(O)O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	allosteric
asd_2010_allligand_7_25.mdb	ASD00360006	ASD00360000	O[C@H]1[C@H](O)[C@@](O)(COP(=O)(O)O)O[C@@H]1COP(=O)(O)O	allosteric
asd_2010_allligand_7_25.mdb	ASD00360007	ASD00360000	OC(=O)CC(O)(CC(=O)O)C(=O)O	allosteric
asd_2010_allligand_7_25.mdb	ASD00320001	ASD02850000	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	allosteric
asd_2010_allligand_7_25.mdb	ASD00680001	ASD01040000	Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl	allosteric
asd_2010_allligand_7_25.mdb	ASD00680002	ASD01040000	CC[C@@H]1Cc2cc(O)ccc2C3=C1c4ccc(O)cc4C[C@H]3CC	allosteric
asd_2010_allligand_7_25.mdb	ASD01040002	ASD01040000	CCCc1c(nn(c2ccc(O)cc2)c1c3ccc(O)cc3)c4ccc(O)cc4	allosteric
asd_2010_allligand_7_25.mdb	ASD01040004	ASD01040000	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	allosteric
asd_2010_allligand_7_25.mdb	ASD00570001	ASD00570000	CC(OC(=O)Nc1ccc(Cl)c(Cl)c1)c2nc3ccccc3[nH]2	allosteric
asd_2010_allligand_7_25.mdb	ASD00570002	ASD00570000	CC(C)(C)c1ccc(cc1[N+](=O)[O-])C(=O)NNC(=O)Nc2cccc3ccccc23	allosteric
asd_2010_allligand_7_25.mdb	ASD00570003	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3cccc(Cl)c3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570004	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570005	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCN(CC4)c5ccccc5	allosteric
asd_2010_allligand_7_25.mdb	ASD00570006	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCS(=O)(=O)CC4	allosteric
asd_2010_allligand_7_25.mdb	ASD00570007	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCCC5(CCCNC5)C4	allosteric
asd_2010_allligand_7_25.mdb	ASD00570008	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCC(CC4)(c5ccccc5)c6ccccc6	allosteric
asd_2010_allligand_7_25.mdb	ASD00570009	ASD00570000	NC(=O)C1CCN(CC1)C(=O)C(SC2=Nc3ccccc3C(=O)N2c4cccc(Cl)c4)c5ccccc5	allosteric
asd_2010_allligand_7_25.mdb	ASD00570010	ASD00570000	CC(C)CC(SC1=Nc2ccccc2C(=O)N1c3cccc(Cl)c3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570011	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3Cl)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570012	ASD00570000	CCCCC(SC1=Nc2cc(C)ccc2C(=O)N1c3cccc(Cl)c3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570013	ASD00570000	CCCCC(SC1=Nc2c(C)cccc2C(=O)N1c3cccc(Cl)c3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570014	ASD00570000	CCCCC(SC1=Nc2c(O)cccc2C(=O)N1c3cccc(Cl)c3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00570015	ASD00570000	CCCCC(SC1=Nc2c(OC)cccc2C(=O)N1c3cccc(Cl)c3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00660002	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N(CC)CC	allosteric
asd_2010_allligand_7_25.mdb	ASD00660003	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)NC4CCCCC4	allosteric
asd_2010_allligand_7_25.mdb	ASD00660004	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)NC45CC6CC(CC(C6)C4)C5	allosteric
asd_2010_allligand_7_25.mdb	ASD00660005	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)NC(C)(C)C	allosteric
asd_2010_allligand_7_25.mdb	ASD00660006	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)NC4CC5CCC4C5	allosteric
asd_2010_allligand_7_25.mdb	ASD00660008	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCS(=O)(=O)CC4	allosteric
asd_2010_allligand_7_25.mdb	ASD00660011	ASD00570000	CC(C)C(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00660012	ASD00570000	NC(=O)C1CCN(CC1)C(=O)C(SC2=Nc3ccccc3C(=O)N2c4ccccc4)c5ccccc5	allosteric
asd_2010_allligand_7_25.mdb	ASD00660013	ASD00570000	CC(C)CC(SC1=Nc2ccccc2C(=O)N1c3ccccc3)C(=O)N4CCC(CC4)C(=O)N	allosteric
asd_2010_allligand_7_25.mdb	ASD00660014	ASD00570000	CCCCC(SC1=Nc2ccccc2C(=O)N1C3CCCCC3)C(=O)N4CCC(CC4)C(=O)N	allosteric
