BindingDB	Canonical_Smiles	IC50	PubChem
50312940	s1c(cnc1NC[C@@H]([NH3+])Cc1ccc(cc1)C(F)(F)F)-c1cc2c(cc1)C(=O)NC2	9000	46880505
50432334	n1c2n(ccc2ccc1C#N)-c1ncnc(N)c1	83000	71553522
50432335	Clc1ncccc1-c1c2c(n(c1)-c1nc(ncc1)N)cc(Cl)nc2	83000	71580917
50432342	Clc1cc(ccc1)-c1c2c(n(c1)-c1nc(ncc1)N)ccnc2	83000	71580914
50432350	n1c(-n2c3cc(cnc3cc2)C#N)ccnc1N	83000	71580829
50432361	n1cnccc1-n1c2cc(ccc2cc1)C#N	83000	71580638
50432363	n1cnc(-n2c3cc(ccc3cc2)C#N)cc1N	83000	71580636
50099963	n1cc2ncnc(Nc3cc4c(n(nc4)Cc4ccccc4)cc3)c2cc1N(C)C	8000	6603857
50379353	Brc1c[nH+]c2nc([nH]c2c1NCCCNC(=O)C(C)C)-c1ccc(OC)cc1	5280	70685231
50157547	O1c2c(ccc(O)c2O)C(=O)C=C1c1cc(O)c(O)cc1	500000	688798
50157555	O1c2c(cccc2)C(=O)C=C1c1cc(O)c(O)cc1	500000	145726
50297275	[nH]1cc(c2c1cccc2)CCn1c2c(cccc2)cc1	500000	378604
50297277	Clc1cc2c([nH]cc2CCn2c3c(cccc3)cc2)cc1	500000	11266386
50297279	Fc1cc2c(n(cc2)CCc2c3c([nH]c2)cccc3)cc1	500000	11219672
50168389	S(=O)(=O)(CCCOC(=O)Nc1cn2N=C[NH+]=C(Nc3cc(C(=O)NOC)c(F)cc3F)c2c1C(C)C)C	50000	9893493
50168402	S(=O)(=O)(C(F)(F)c1oc(nn1)-c1cn2N=C[NH+]=C(Nc3cc(C(=O)NOC)c(F)cc3F)c2c1C(C)C)C	50000	11432911
50168392	Fc1cc(F)c(NC2=[NH+]C=Nn3c2c(C(C)C)c(NC(OCC2OCCC2)=O)c3)cc1C(=O)NOC	50000	11477626
50168387	Fc1cc(F)c(NC2=[NH+]C=Nn3c2c(C(C)C)c(c3)-c2oc(nn2)C)cc1C(=O)NOC	50000	10478569
50168403	Fc1cc(F)c(NC2=[NH+]C=Nn3c2c(C(C)C)c(c3)-c2oc(nn2)C(F)F)cc1C(=O)NOC	50000	10073832
50271039	O=C/1NC(=O)c2c(cc(cc2)C#Cc2ccccc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881334
50271036	s1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881263
50270881	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24882087
50270880	o1cccc1-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24882086
50270879	O=C/1NC(=O)c2c(cc(cc2)-c2ccccc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881262
50270878	O=C/1NC(=O)c2c(cc(N3CCCCC3)cc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24882000
50270776	O=C/1NC(=O)c2c(cc(NC(=O)C)cc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881939
50270775	O=C/1NC(=O)c2c(cc(-n3cccc3)cc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881200
50270773	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881937
50270736	O=C/1NC(=O)c2c(cc([N+](=O)[O-])cc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881199
50270734	Brc1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	50000	24881873
28047	Brc1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881940
50270645	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ncc(nc1)N1CC[NH+](CC1)C	50000	24881408
50270644	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1cnc(nc1)N1CC[NH+](CC1)C	50000	24881198
50270643	Fc1cc(N\C=C/2\c3c(ccc(c3)-c3ccoc3)C(=O)NC\2=O)ccc1N1CC[NH+](CC1)C	50000	24881197
50270642	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1nnc(N2CC[NH+](CC2)C)cc1	50000	24881339
50270579	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(nc1)N1CC[NH+](CC1)C	50000	24881196
50270522	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ncc(N2CC[NH+](CC2)C)cc1	50000	24881195
50270521	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2C[C@H]([NH+](C[C@@H]2C)C)C)cc1	50000	24882265
50270520	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2CC([NH+](CC2)C)C)cc1	50000	24882264
50270519	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2C[C@H]([NH+](C)[C@H](C2)C)C)cc1	50000	24882263
50271270	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2C[C@H]([NH2+][C@H](C2)C)C)cc1	50000	24882262
50270735	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(N2C3CC([NH+](C3)C)C2)cc1	50000	44585639
50271268	O(c1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C/Nc1ccc(cc1)C[NH+]1CCCCC1)c1ccccc1	50000	44586037
50271267	O(C)c1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882183
50271237	O(C)c1cc(ccc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881337
50271236	Oc1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882182
50271235	Oc1cc(ccc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882181
50271234	Clc1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881336
50271201	Fc1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882180
50271145	O=C/1NC(=O)c2c(cc(N3CC[NH+](CC3)C)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882002
50271144	O1CCN(CC1)c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881261
50271117	O=C/1NC(=O)c2c(cc(N3CCCCC3)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882001
50271115	O=C/1NC(=O)c2c(cc(-n3cccc3)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881999
50271088	O=C/1NC(=O)c2c(cc([N+](=O)[O-])cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881942
50271086	O(C)c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881941
50271087	Clc1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881258
28077	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882091
50271146	O=C/1NC(=O)c2c(cc(cc2)-c2ccccc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882090
