PubChem	IC50	Outcome	Score	Phenotype	Canonical_Smiles
P644959	12.5893	Inconclusive	21	Inhibitor	CC(=CCOC1=C(C=C2C=CC(=O)OC2=C1O)OC)C
P1893668	25.1189	Inconclusive	20	Inhibitor	CCN\1C2=C(C=CC(=C2)OC)S/C1=C\C(=O)C
P440707	0.0251	Inactive	0	Activator	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
P4847	19.9526	Inconclusive	20	Inhibitor	CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F
P5281004	7.9433	Active	43	Inhibitor	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
P2727	15.8489	Inconclusive	21	Inhibitor	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
P3151	15.8489	Inconclusive	21	Inhibitor	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
P3339	3.9811	Inactive	0	Activator	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
P5282230	10	Inconclusive	22	Inhibitor	COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC
P1547484	3.1623	Inactive	0	Activator	C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
P5327	39.8107	Inconclusive	20	Inhibitor	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
P441358	25.1189	Inconclusive	20	Inhibitor	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
P4891	19.9526	Inconclusive	20	Inhibitor	C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
P31307	19.9526	Inconclusive	20	Inhibitor	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O
P5388964	15.8489	Active	41	Inhibitor	C1CC1C(C2CC2)NC3=NCCO3.C(=C/C(=O)O)\C(=O)O
P3308	3.1623	Inconclusive	20	Inhibitor	CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O
P6100	1.5849	Inactive	0	Activator	CC[N+](C)(C)CC1=CC=CC=C1Br.CC1=CC=C(C=C1)S(=O)(=O)[O-]
P2315	39.8107	Inconclusive	20	Inhibitor	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
P444795	39.8107	Inconclusive	20	Inhibitor	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
P4495	25.1189	Inconclusive	20	Inhibitor	CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
P5213	12.5893	Active	42	Inhibitor	COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
P10607	1.9953	Active	87	Inhibitor	COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O
