BindingDB	Canonical_Smiles	IC50	PubChem
50266775	[C@]1(O[H])(c2c([H])c([H])c([H])c([H])c2Cl)C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.02	44582150
50266920	[C@]1(OC([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])N(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2[H])[C@@]([H])(C(N([H])c3c(F)c([H])c(N4C(=O)C([H])=C([H])C([H])=C4[H])c([H])c3[H])=O)C1([H])[H]	0.050000001	44582222
50266923	[C@]1(O[H])(c2c([H])c([H])c(F)c(F)c2[H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.079999998	44582224
50266921	[C@]1(O[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4c(F)c([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.079999998	25210469
50266924	[C@]1(O[H])(c2c(F)c([H])c(F)c([H])c2[H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.1	25210468
50266773	[C@]1(O[H])(c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.11	44582148
50328697	N([H])(C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[N+]([H])=C(N([H])[H])N([H])[H])C(c1sc([H])c([H])n1)=O)C(=O)[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[N+]([H])=C(N([H])[H])N([H])[H])N([H])S(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])(=O)=O	0.13	9916876
50328726	N([H])(c1c(F)c([H])c(c([H])c1[H])c2c(S(=O)(=O)C([H])([H])[H])c([H])c([H])c([H])c2[H])C(=O)[C@]([H])(N(C(=O)N([H])c(c([H])c3[H])c([H])c([H])c3Cl)C([H])([H])[C@]4([H])OC([H])([H])[H])C4([H])[H]	0.16	16741235
50266922	[C@]1(O[H])(c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.16	44582223
50103666	C(=O)(N([H])c(c([H])c([H])c1C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])Oc(c([H])c([H])c([H])c4C(N([H])[H])=[N+]([H])[H])c4[H]	0.18000001	10433463
