BindingDB	Canonical_Smiles	IC50	PubChem
50350909	n1cccnc1Nc1ccccc1	630957	11643997
50263132	s1c2[nH+]cc(C#N)c(Nc3ccc4[nH]ccc4c3C)c2cc1\C=C\C(=O)N1CCCC1	50000	24766030
50259637	o1cccc1-c1[nH+]ccc(NC=2C(=O)C(=O)C=2N[C@H](C)c2ccccc2)c1	50000	44575126
50259638	s1cc(cc1)-c1[nH+]ccc(NC=2C(=O)C(=O)C=2N[C@H](C)c2ccccc2)c1	50000	44575127
50259376	O=C1C(=O)C(N[C@H](C)c2ccccc2)=C1Nc1cc[nH+]cc1	50000	15295578
50259532	O=C1C(=O)C(NC(C(=O)N)c2ccccc2)=C1Nc1cc[nH+]cc1	50000	25206064
50259563	Oc1cc(ccc1)C(NC=1C(=O)C(=O)C=1Nc1cc[nH+]cc1)C(=O)N	50000	25207521
50378568	Oc1cc(NC=2n3nc(cc3N=CC=2)-c2cc(ccc2)C(=O)NC2CC(N(O)C(C2)(C)C)(C)C)ccc1	50000	46179972
50316253	O1CCN(CC1)c1nc(nc2n(ncc12)C1CCN(CC1)C(OC(C)(C)C)=O)-c1ccc(N)cc1	50000	44605037
50311953	S(=O)(=O)(N1CC[NH+](CC1)C)c1cc(ccc1)\C=C\c1c[nH+]cc(C#N)c1Nc1ccc2[nH]ccc2c1C	50000	45375865
50311954	S(=O)(=O)(N1CC[NH+](CC1)C)c1cc(ccc1)\C=C\c1c(Nc2ccc3[nH]ccc3c2C)c(c[nH+]c1C)C#N	50000	45375866
50314051	FC(F)(F)c1cc(ccc1)C(=O)Nc1cc(ccc1)C=1n2nc(cc2N=CC=1)-c1ccncc1	50000	24822704
50332080	s1ccc(NC(=O)Cc2ccc(OC)cc2)c1-c1[nH]c(nn1)N	50000	46869742
50332081	s1ccc(NC(=O)Cc2ccc(OC)cc2)c1-c1ncn(c1)C	50000	52948565
50332083	s1ccc(NC(=O)Cc2ccc(OC)cc2)c1-c1nc([nH]c1)C	50000	52946092
50332084	s1ccc(NC(=O)Cc2ccc(OC)cc2)c1-c1nccnc1	50000	52941286
50332086	s1ccc(NC(=O)Cc2c3c(ccc2)cncc3)c1-c1ncsc1	50000	46868930
50332087	s1cnc(C(OC)=O)c1NC(=O)Cc1c2c(ccc1)cncc2	50000	52944909
50332089	s1cnc(-c2ncnn2C)c1NC(=O)Cc1c2c(ccc1)cncc2	50000	52942507
50332090	s1cnc(-c2nccnc2)c1NC(=O)Cc1c2c(ccc1)cncc2	50000	52948593
50332091	s1cnc(-c2ncsc2)c1NC(=O)Cc1c2c(ccc1)cncc2	50000	49839481
50332088	s1cnc(-c2[nH]cnn2)c1NC(=O)Cc1c2c(ccc1)cncc2	50000	46869149
50332050	s1ccc(NC(=O)Cc2c3c(ccc2)cncc3)c1C(OC)=O	50000	52949817
50332065	O(C(=O)c1[nH]ncc1NC(=O)Cc1c2c(ccc1)cccc2)C	50000	52941226
50332079	s1ccc(NC(=O)Cc2ccc(OC)cc2)c1-c1[nH]c(nn1)C(F)(F)F	50000	46869740
50333993	O=C1N(C(=N[N-]1)c1cc(ncc1)Nc1cccnc1)c1cc2c(cc1)cccc2	50000	53321577
50333991	s1ccnc1Nc1nccc(c1)C1=N[N-]C(=O)N1c1cc2c(cc1)cccc2	50000	53317414
50333999	O=C1N(C(=N[N-]1)c1cc(ncc1)NC(=O)C)c1cc2c(cc1)cccc2	50000	53321333
50333984	O=C1N(C(=N[N-]1)c1cc(ncc1)NC(=O)C1CC1)c1cc2c(cc1)cccc2	50000	53321334
50334005	O=C1N(C(=N[N-]1)c1cc(ncc1)NC(=O)c1ccccc1)c1cc2c(cc1)cccc2	50000	53317415
50333990	Fc1cc2c(cc(N3C(=N[N-]C3=O)c3cc(ncc3)NC3CCOCC3)cc2)cc1	50000	53322645
50334006	O1CCC(Nc2nccc(c2)C2=N[N-]C(=O)N2c2cc3c(cc(N)cc3)cc2)CC1	50000	53326557
50334002	Brc1cc2c(cc(N3C(=N[N-]C3=O)c3cc(ncc3)NC3CCOCC3)cc2)cc1	50000	53323987
50333998	Fc1c2cc(N3C(=N[N-]C3=O)c3cc(ncc3)NC3CCOCC3)ccc2ccc1	50000	53318709
50334000	O1CCC(CC1)CN1N=C(N(c2cc3c(cc2)cccc3)C1=O)c1cc(ncc1)NC1CCCCC1	50000	53323989
50334001	O1CCC(N2N=C(N(c3cc4c(cc3)cccc4)C2=O)c2cc(ncc2)NC2CCCCC2)CC1	50000	50941538
50333996	O1CC(N2N=C(N(c3cc4c(cc3)cccc4)C2=O)c2cc(ncc2)NC2CCOCC2)CC1	50000	53317416
50334004	O1CCC(Nc2nccc(c2)C2=N[N-]C(=O)N2c2cc3c(cc2)cccc3N)CC1	50000	53325285
50334009	O=C1N(C(=N[N-]1)c1ccncc1)c1cc2c(cc1)cccc2	50000	53317412
50334008	O=C1N(C(=N[N-]1)c1cc(ncc1)NC1CCCCC1)c1cc2c(cc1)cccc2	50000	50941455
50333987	O1CC(Nc2nccc(c2)C2=N[N-]C(=O)N2c2cc3c(cc2)cccc3)CCC1	50000	53326555
50333994	O1CCC(Nc2nccc(c2)C2=N[N-]C(=O)N2c2cc3c(cc2)cccc3)CC1	50000	53323985
50333985	O=C1N(C(=N[N-]1)c1cc(ncc1)NC1CCCC1)c1cc2c(cc1)cccc2	50000	53322644
50333992	O=C1N(C(=N[N-]1)c1cc(ncc1)NC1CCC1)c1cc2c(cc1)cccc2	50000	53323986
50333986	O=C1N(C(=N[N-]1)c1cc(ncc1)NC1CC1)c1cc2c(cc1)cccc2	50000	53325284
50334003	O=C1N(C(=N[N-]1)c1cc(ncc1)Nc1ccccc1)c1cc2c(cc1)cccc2	50000	53326556
